TRACK,LABEL,METHOD,CURVE
26,feature.Seral.CWHvm_HW_CW_M.regenerating,,21
26,feature.Seral.CWHvm_HW_CW_M.young,,22
26,feature.Seral.immature,,70
26,feature.Seral.mature,,71
26,feature.Seral.overmature,,72
26,feature.Seral.regenerating,,21
26,feature.Seral.young,,22
26,feature.SpeciesProp.unmanaged.CW,,268
26,feature.SpeciesProp.unmanaged.HW,,269
26,feature.Yield.unmanaged.CW,,270
26,feature.Yield.unmanaged.HW,,271
26,feature.Yield.unmanaged.Total,,272
27,feature.Area.managed,,15
27,feature.Area.og1.CWHvm_HW_CW_M,,69
27,feature.Area.og1.total,,69
27,feature.Area.og2.CWHvm_HW_CW_M,,17
27,feature.Area.og2.total,,17
27,feature.Seral.CWHvm_HW_CW_M.immature,,70
27,feature.Seral.CWHvm_HW_CW_M.mature,,71
27,feature.Seral.CWHvm_HW_CW_M.overmature,,72
27,feature.Seral.CWHvm_HW_CW_M.regenerating,,21
27,feature.Seral.CWHvm_HW_CW_M.young,,22
27,feature.Seral.immature,,70
27,feature.Seral.mature,,71
27,feature.Seral.overmature,,72
27,feature.Seral.regenerating,,21
27,feature.Seral.young,,22
27,feature.SpeciesProp.managed.CW,,268
27,feature.SpeciesProp.managed.HW,,269
27,feature.Yield.managed.CW,,273
27,feature.Yield.managed.HW,,274
27,feature.Yield.managed.Total,,275
28,feature.Area.og1.CWHvm_HW_FDC_H,,94
28,feature.Area.og1.total,,94
28,feature.Area.og2.CWHvm_HW_FDC_H,,17
28,feature.Area.og2.total,,17
28,feature.Area.unmanaged,,15
28,feature.Seral.CWHvm_HW_FDC_H.immature,,43
28,feature.Seral.CWHvm_HW_FDC_H.mature,,44
28,feature.Seral.CWHvm_HW_FDC_H.overmature,,45
28,feature.Seral.CWHvm_HW_FDC_H.regenerating,,21
28,feature.Seral.CWHvm_HW_FDC_H.young,,22
28,feature.Seral.immature,,43
28,feature.Seral.mature,,44
28,feature.Seral.overmature,,45
28,feature.Seral.regenerating,,21
28,feature.Seral.young,,22
28,feature.SpeciesProp.unmanaged.FDC,,10
28,feature.SpeciesProp.unmanaged.HW,,281
28,feature.Yield.unmanaged.FDC,,282
28,feature.Yield.unmanaged.HW,,283
28,feature.Yield.unmanaged.Total,,284
29,feature.Area.managed,,15
29,feature.Area.og1.CWHvm_HW_FDC_H,,94
29,feature.Area.og1.total,,94
29,feature.Area.og2.CWHvm_HW_FDC_H,,17
29,feature.Area.og2.total,,17
29,feature.Seral.CWHvm_HW_FDC_H.immature,,43
29,feature.Seral.CWHvm_HW_FDC_H.mature,,44
29,feature.Seral.CWHvm_HW_FDC_H.overmature,,45
29,feature.Seral.CWHvm_HW_FDC_H.regenerating,,21
29,feature.Seral.CWHvm_HW_FDC_H.young,,22
29,feature.Seral.immature,,43
29,feature.Seral.mature,,44
29,feature.Seral.overmature,,45
29,feature.Seral.regenerating,,21
29,feature.Seral.young,,22
29,feature.SpeciesProp.managed.FDC,,10
29,feature.SpeciesProp.managed.HW,,281
29,feature.Yield.managed.FDC,,285
29,feature.Yield.managed.HW,,286
29,feature.Yield.managed.Total,,287
30,feature.Area.og1.CWHvm_CW_YC_M,,292
30,feature.Area.og1.total,,292
30,feature.Area.og2.CWHvm_CW_YC_M,,1
30,feature.Area.og2.total,,1
30,feature.Area.unmanaged,,2
30,feature.Seral.CWHvm_CW_YC_M.immature,,293
30,feature.Seral.CWHvm_CW_YC_M.mature,,294
30,feature.Seral.CWHvm_CW_YC_M.overmature,,295
30,feature.Seral.CWHvm_CW_YC_M.regenerating,,6
30,feature.Seral.CWHvm_CW_YC_M.young,,7
30,feature.Seral.immature,,293
30,feature.Seral.mature,,294
30,feature.Seral.overmature,,295
30,feature.Seral.regenerating,,6
30,feature.Seral.young,,7
30,feature.SpeciesProp.unmanaged.CW,,296
30,feature.SpeciesProp.unmanaged.HW,,297
30,feature.SpeciesProp.unmanaged.YC,,298
30,feature.Yield.unmanaged.CW,,299
30,feature.Yield.unmanaged.HW,,300
30,feature.Yield.unmanaged.Total,,301
