GROUP,ATTRIBUTE,ACCOUNT,SUM
_MANAGED_,feature.Height.managed.CWHvm_HW_FDC_H,feature.Height.managed.CWHvm_HW_FDC_H,0.00284242169908
_MANAGED_,feature.Height.managed.CWHvm_HW_FDC_L,feature.Height.managed.CWHvm_HW_FDC_L,0.0123990005238
_MANAGED_,feature.Height.managed.CWHvm_HW_SS_M,feature.Height.managed.CWHvm_HW_SS_M,0.0502980440041
_UNMANAGED_,feature.Height.unmanaged.CWHvm_CW_HW_M,feature.Height.unmanaged.CWHvm_CW_HW_M,0.00557116597114
_UNMANAGED_,feature.Height.unmanaged.CWHvm_CW_PLC_M,feature.Height.unmanaged.CWHvm_CW_PLC_M,0.030796402492
_UNMANAGED_,feature.Height.unmanaged.CWHvm_CW_YC_M,feature.Height.unmanaged.CWHvm_CW_YC_M,0.0243025165065
_UNMANAGED_,feature.Height.unmanaged.CWHvm_DR_HW_M,feature.Height.unmanaged.CWHvm_DR_HW_M,0.0322873558606
_UNMANAGED_,feature.Height.unmanaged.CWHvm_FDC_HW_H,feature.Height.unmanaged.CWHvm_FDC_HW_H,0.0167232990452
_UNMANAGED_,feature.Height.unmanaged.CWHvm_FDC_HW_L,feature.Height.unmanaged.CWHvm_FDC_HW_L,0.0411042205541
_UNMANAGED_,feature.Height.unmanaged.CWHvm_FDC_HW_M,feature.Height.unmanaged.CWHvm_FDC_HW_M,0.021952255957
_UNMANAGED_,feature.Height.unmanaged.CWHvm_HW_BA_M,feature.Height.unmanaged.CWHvm_HW_BA_M,0.285423966416
_UNMANAGED_,feature.Height.unmanaged.CWHvm_HW_CW_H,feature.Height.unmanaged.CWHvm_HW_CW_H,0.0725158883498
_UNMANAGED_,feature.Height.unmanaged.CWHvm_HW_CW_L,feature.Height.unmanaged.CWHvm_HW_CW_L,0.0266033872206
_UNMANAGED_,feature.Height.unmanaged.CWHvm_HW_CW_M,feature.Height.unmanaged.CWHvm_HW_CW_M,0.0667501063579
_UNMANAGED_,feature.Height.unmanaged.CWHvm_HW_FDC_H,feature.Height.unmanaged.CWHvm_HW_FDC_H,0.0176299542167
_UNMANAGED_,feature.Height.unmanaged.CWHvm_HW_FDC_L,feature.Height.unmanaged.CWHvm_HW_FDC_L,0.013762321215
_UNMANAGED_,feature.Height.unmanaged.CWHvm_HW_SS_M,feature.Height.unmanaged.CWHvm_HW_SS_M,0.101973411893
_MANAGED_,feature.QMD.managed.CWHvm_CW_HW_M,feature.QMD.managed.CWHvm_CW_HW_M,0.0090407224457
_MANAGED_,feature.QMD.managed.CWHvm_DR_HW_M,feature.QMD.managed.CWHvm_DR_HW_M,0.0284720504464
_MANAGED_,feature.QMD.managed.CWHvm_FDC_HW_H,feature.QMD.managed.CWHvm_FDC_HW_H,0.00811717881294
_MANAGED_,feature.QMD.managed.CWHvm_FDC_HW_L,feature.QMD.managed.CWHvm_FDC_HW_L,0.00778728649975
_MANAGED_,feature.QMD.managed.CWHvm_FDC_HW_M,feature.QMD.managed.CWHvm_FDC_HW_M,0.00694116163913
_MANAGED_,feature.QMD.managed.CWHvm_HW_BA_M,feature.QMD.managed.CWHvm_HW_BA_M,0.0403009817383
_MANAGED_,feature.QMD.managed.CWHvm_HW_CW_H,feature.QMD.managed.CWHvm_HW_CW_H,0.0106313824551
_MANAGED_,feature.QMD.managed.CWHvm_HW_CW_L,feature.QMD.managed.CWHvm_HW_CW_L,0.0956449599435
